CID,Smiles,KovatsRetention
5352145,CC(=CCC/C(=C/CC(CO)C(=C)C)/C)C,2148
5352145,CC(=CCC/C(=C/CC(CO)C(=C)C)/C)C,2183
5352145,CC(=CCC/C(=C/CC(CO)C(=C)C)/C)C,2183
5352145,CC(=CCC/C(=C/CC(CO)C(=C)C)/C)C,2183
5352145,CC(=CCC/C(=C/CC(CO)C(=C)C)/C)C,2183
5352145,CC(=CCC/C(=C/CC(CO)C(=C)C)/C)C,2183
5352146,CC(CC/C=C(/C)\CO)C1C2CC3C1(C3C2)C,2316
5352146,CC(CC/C=C(/C)\CO)C1C2CC3C1(C3C2)C,2350
5352157,C/C=C/CCCCCC/C=C/C,1248
5352157,C/C=C/CCCCCC/C=C/C,1262
5352159,C/C=C/CCCCCCCC/C=C/C,1420
5352162,CCCC(=O)OC/C=C(/C)\CCC=C(C)C,1828
5352162,CCCC(=O)OC/C=C(/C)\CCC=C(C)C,1868
5352162,CCCC(=O)OC/C=C(/C)\CCC=C(C)C,1857
5352162,CCCC(=O)OC/C=C(/C)\CCC=C(C)C,1838
5352162,CCCC(=O)OC/C=C(/C)\CCC=C(C)C,1858
5352223,CCCCCCCCCCCCCC/C=C\C,1743
5352223,CCCCCCCCCCCCCC/C=C\C,1742.8
5352224,CCCCCCCCCCCCC/C=C\C,1644
5352224,CCCCCCCCCCCCC/C=C\C,1644.5
5352225,CCCCCCCCCCCCCCC/C=C\C,1842
5352225,CCCCCCCCCCCCCCC/C=C\C,1841.7
5352226,CCCCCCCCCCCC/C=C\C,1546
5352226,CCCCCCCCCCCC/C=C\C,1546
5352227,CCCCCCCCCCCCCC/C=C\CC,1822
5352227,CCCCCCCCCCCCCC/C=C\CC,1821.8
5352228,CCCCCCCCCCC/C=C\CC,1548
5352228,CCCCCCCCCCC/C=C\CC,1525
5352228,CCCCCCCCCCC/C=C\CC,1525
5352228,CCCCCCCCCCC/C=C\CC,1548
5352229,CCCCCCCCCCCC/C=C\CCC,1715
5352229,CCCCCCCCCCCC/C=C\CCC,1715
5352230,CCCCCCCCCCC/C=C\CCC,1617
5352230,CCCCCCCCCCC/C=C\CCC,1616.6
5352231,CCCCCCCCCCCCC/C=C\CCC,1814
5352231,CCCCCCCCCCCCC/C=C\CCC,1814.2
5352232,CCCCCCCCCC/C=C\CCC,1518
5352232,CCCCCCCCCC/C=C\CCC,1518.2
5352233,CCCCCCCCCCC/C=C\CCCC,1709
5352233,CCCCCCCCCCC/C=C\CCCC,1709.1
5352234,CCCCCCCCCC/C=C\CCCC,1611
5352234,CCCCCCCCCC/C=C\CCCC,1610.9
5352235,CCCCCCCCCCCC/C=C\CCCC,1807
5352235,CCCCCCCCCCCC/C=C\CCCC,1807.2
5352236,CCCCCCCCC/C=C\CCCC,1513
5352236,CCCCCCCCC/C=C\CCCC,1512.7
5352237,CCCCCCCCCC/C=C\CCCCC,1704.2
5352238,CCCCCCCCC/C=C\CCCCC,1607
5352238,CCCCCCCCC/C=C\CCCCC,1606.6
5352239,CCCCCCCCCCC/C=C\CCCCC,1802
5352239,CCCCCCCCCCC/C=C\CCCCC,1802.5
5352240,CCCCCCCC/C=C\CCCCC,1509
5352240,CCCCCCCC/C=C\CCCCC,1508.9
5352241,CCCCCCCCC/C=C\CCCCCC,1701
5352241,CCCCCCCCC/C=C\CCCCCC,1700.9
5352242,CCCCCCCCCC/C=C\CCCCCC,1798
5352242,CCCCCCCCCC/C=C\CCCCCC,1798.1
5352243,CCCCCCCC/C=C\CCCCCCC,1699
5352243,CCCCCCCC/C=C\CCCCCCC,1699.2
5352244,CCCCCCCCC/C=C\CCCCCCC,1796
5352244,CCCCCCCCC/C=C\CCCCCCC,1795.8
5352245,CCCCCCCC/C=C\CCCCCCCC,1795
5352245,CCCCCCCC/C=C\CCCCCCCC,1795
5352246,CCCCCCCCCCCCCC/C=C/C,1735
5352246,CCCCCCCCCCCCCC/C=C/C,1735
5352247,CCCCCCCCCCCCC/C=C/C,1636
5352247,CCCCCCCCCCCCC/C=C/C,1632.2
5352248,CCCCCCCCCCCCCCC/C=C/C,1834
5352248,CCCCCCCCCCCCCCC/C=C/C,1834.1
5352249,CCCCCCCCCCCC/C=C/C,1537
5352249,CCCCCCCCCCCC/C=C/C,1537.4
5352250,CCCCCCCCCCCCC/C=C/CC,1720
5352250,CCCCCCCCCCCCC/C=C/CC,1720.5
5352250,CCCCCCCCCCCCC/C=C/CC,1756
5352251,CCCCCCCCCCCC/C=C/CC,1623
5352251,CCCCCCCCCCCC/C=C/CC,1621.8
5352252,CCCCCCCCCCC/C=C/CC,1540
5352252,CCCCCCCCCCC/C=C/CC,1523
5352252,CCCCCCCCCCC/C=C/CC,1522.8
5352252,CCCCCCCCCCC/C=C/CC,1540
5352253,CCCCCCCCCCCC/C=C/CCC,1714
5352253,CCCCCCCCCCCC/C=C/CCC,1713.7
5352254,CCCCCCCCCCCCC/C=C/CCC,1813
5352254,CCCCCCCCCCCCC/C=C/CCC,1813.2
5352255,CCCCCCCCCC/C=C/CCC,1516
5352255,CCCCCCCCCC/C=C/CCC,1516.2
5352256,CCCCCCCCCCC/C=C/CCCC,1712
5352256,CCCCCCCCCCC/C=C/CCCC,1712
5352256,CCCCCCCCCCC/C=C/CCCC,1733
5352257,CCCCCCCCCC/C=C/CCCC,1614
5352257,CCCCCCCCCC/C=C/CCCC,1613.5
5352258,CCCCCCCCC/C=C/CCCC,1515
5352258,CCCCCCCCC/C=C/CCCC,1515.4
5352259,CCCCCCCCCC/C=C/CCCCC,1704
5352259,CCCCCCCCCC/C=C/CCCCC,1709
5352259,CCCCCCCCCC/C=C/CCCCC,1708.9
5352260,CCCCCCCCC/C=C/CCCCC,1611
5352260,CCCCCCCCC/C=C/CCCCC,1610.7
5352261,CCCCCCCCCCC/C=C/CCCCC,1808
5352261,CCCCCCCCCCC/C=C/CCCCC,1807.6
5352262,CCCCCCCC/C=C/CCCCC,1512
5352262,CCCCCCCC/C=C/CCCCC,1512.4
5352263,CCCCCCCCC/C=C/CCCCCC,1706
