CID,Smiles,Density,Temp
7127,COC1=C(C=C(C=C1)CC=C)OC,1.034,25
7127,COC1=C(C=C(C=C1)CC=C)OC,1.034,
7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,1.0795,
7142,C1=CC=C2C=C(C=CC2=C1)NC3=CC=C(C=C3)NC4=CC5=CC=CC=C5C=C4,1.25,
7144,CC1=CC(=C(C=C1)O)OC,1.0925,
7146,CC(C=O)C1=CC=CC=C1,1.002,
7147,CCC(C1=CC=CC=C1)O,0.9964999999999999,
7148,CCC(=O)C1=CC=CC=C1,1.0105,20
7148,CCC(=O)C1=CC=CC=C1,1.009,
7150,COC(=O)C1=CC=CC=C1,1.0888,20
7150,COC(=O)C1=CC=CC=C1,1.0837,25
7150,COC(=O)C1=CC=CC=C1,1.0855000000000001,
7153,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,1.28,
7157,C=CCN(CC=C)C(=O)CCl,1.088,25
7157,C=CCN(CC=C)C(=O)CCl,1.088,25
7158,CC(C(=O)O)OC1=CC(=C(C=C1Cl)Cl)Cl,1.2085,20
7158,CC(C(=O)O)OC1=CC(=C(C=C1Cl)Cl)Cl,1.2085,20
7165,CCOC(=O)C1=CC=CC=C1,1.0465,
7170,CCOC(=O)CC(=O)C1=CC=CC=C1,1.1135000000000002,
7173,CC(C)OC(=O)COC1=C(C=C(C=C1)Cl)Cl,1.2625,25
7175,CCCOC(=O)C1=CC=C(C=C1)O,1.28,25
7175,CCCOC(=O)C1=CC=C(C=C1)O,1.287,20
7187,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,1.334,15
7187,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,1.334,25
7187,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,1.3,
7187,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,1.33,
7187,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,1.33,
7193,CC(C)CCOC(=O)C1=CC=CC=C1,0.988,
7197,CCCC1=CC2=C(C=C1)OCO2,1.065,25
7203,CCOC1=CC=CC=C1N,1.044,20.777777777777782
7204,CC1=C(C=CC(=C1)Cl)OCC(=O)O,1.56,25
7206,CCCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl,1.2400000000000002,20
7211,CCCC(C(CC)CO)O,0.9325,22
7216,CCN(CC)C(=S)SCC(=C)Cl,1.088,
7216,CCN(CC)C(=S)SCC(=C)Cl,1.088,25
7217,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,0.9946,20
7217,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,0.9946,20
7219,C1C=CC2=CC=CC=C21,0.997,
7219,C1C=CC2=CC=CC=C21,0.9968,20
7219,C1C=CC2=CC=CC=C21,0.997,
7219,C1C=CC2=CC=CC=C21,0.997,
7220,C1=CC2=NNN=C2C=C1,1.36,20
7220,C1=CC2=NNN=C2C=C1,1.36,
7222,C1=CC=C2C(=C1)N=CS2,1.246,20
7222,C1=CC=C2C(=C1)N=CS2,1.238,
7225,CC1=NC2=CC=CC=C2O1,1.112,
7230,CC(C)(C)NSC1=NC2=CC=CC=C2S1,1.29,25
7232,C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,1.27,
7236,CC1=CC=CC=C1Br,1.431,15
7236,CC1=CC=CC=C1Br,1.432,20
7237,CC1=CC=CC=C1C,0.88,20
7237,CC1=CC=CC=C1C,0.8801,20
7237,CC1=CC=CC=C1C,0.88,
7238,CC1=CC=CC=C1Cl,1.0825,20
7238,CC1=CC=CC=C1Cl,1.0826,20
7238,CC1=CC=CC=C1Cl,1.08,
7238,CC1=CC=CC=C1Cl,1.08,
7239,C1=CC=C(C(=C1)Cl)Cl,1.306,20
7239,C1=CC=C(C(=C1)Cl)Cl,1.3059,20
7239,C1=CC=C(C(=C1)Cl)Cl,1.306,
7239,C1=CC=C(C(=C1)Cl)Cl,1.3,
7240,C1=CC=C(C(=C1)N)Cl,1.213,20
7240,C1=CC=C(C(=C1)N)Cl,1.2114,22
7240,C1=CC=C(C(=C1)N)Cl,1.213,
7241,CC1=CC=CC=C1F,1.0041,13
7242,CC1=CC=CC=C1N,0.998,20
7242,CC1=CC=CC=C1N,0.9984,20
7242,CC1=CC=CC=C1N,0.998,
7242,CC1=CC=CC=C1N,1.01,
7244,C1=CC=C(C(=C1)O)Br,1.4924,20
7245,C1=CC=C(C(=C1)O)Cl,1.25,25
7245,C1=CC=C(C(=C1)O)Cl,1.2634,20
7246,C1COC(C(O1)Cl)Cl,1.468,20
7247,CC1=CC(=C(C=C1)C)C,0.889,
7247,CC1=CC(=C(C=C1)C)C,0.8758,20
7247,CC1=CC(=C(C=C1)C)C,0.8944,20
7247,CC1=CC(=C(C=C1)C)C,0.89,
7247,CC1=CC(=C(C=C1)C)C,0.89,
7247,CC1=CC(=C(C=C1)C)C,0.88,
7248,CC1=C(C=C(C=C1)N)C,1.076,17.77777777777778
7248,CC1=C(C=C(C=C1)N)C,1.076,18
7249,CC1=C(C=C(C=C1)O)C,0.983,20
7249,CC1=C(C=C(C=C1)O)C,0.983,20
7250,CC1=CC(=C(C=C1)N)C,0.978,20
7250,CC1=CC(=C(C=C1)N)C,0.9723,20
7251,CC1=C(C=CC(=C1)Cl)N,1.19,
7254,CC1=C(C=C(C=C1)Cl)Cl,1.2498,
7254,CC1=C(C=C(C=C1)Cl)Cl,1.2476,20
7254,CC1=C(C=C(C=C1)Cl)Cl,1.25,
7255,CC1=C(C=C(C=C1)N)Cl,1.108,
7257,C1=CC(=C(C=C1N)Cl)Cl,1.33,85
7257,C1=CC(=C(C=C1N)Cl)Cl,1.33,
7257,C1=CC(=C(C=C1N)Cl)Cl,1.57,
7259,CC1=CC(=C(C=C1)C)N,0.979,21.11111111111111
7259,CC1=CC(=C(C=C1)C)N,0.979,21
7261,CC1=C(C=C(C=C1)N)N,1.045,100
7261,CC1=C(C=C(C=C1)N)N,1.26,
7261,CC1=C(C=C(C=C1)N)N,1.05,
7261,CC1=C(C=C(C=C1)N)N,1.05,
7262,C1=CC(=C(C=C1Cl)N)Cl,1.54,
7267,CC1=CC(=C(C=C1)C)O,0.971,
7267,CC1=CC(=C(C=C1)C)O,0.965,80
7268,CCOC(=O)C(=O)OCC,1.0785,20
7269,CC1=CC(=C(C=C1C)C)C,0.8875,20
7270,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,1.858,21.11111111111111
7270,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,1.833,
7270,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,1.83,
7271,C1=C(C(=CC(=C1Cl)Cl)Cl)O,1.678,25
7271,C1=C(C(=CC(=C1Cl)Cl)Cl)O,1.68,
7274,CC(=C)C(=O)OCC=C,0.9335,20
7274,CC(=C)C(=O)OCC=C,0.9335,
7276,C1C(O1)C2=CC=CC=C2,1.0523,16.11111111111111
7276,C1C(O1)C2=CC=CC=C2,1.049,25
7276,C1C(O1)C2=CC=CC=C2,1.0523,
7277,CC[Al](CC)Cl,0.9709,25
7280,C(C(CBr)Br)Cl,2.08,20
7280,C(C(CBr)Br)Cl,2.08,20
7280,C(C(CBr)Br)Cl,2.05,
7280,C(C(CBr)Br)Cl,2.05,
7281,C(C(CBr)Br)O,2.12,20
7281,C(C(CBr)Br)O,2.12,20
7282,CCC(C)CC,0.66431,20
7282,CCC(C)CC,0.655,
7283,CCC(C)CN,0.778,
7284,CCC(C)C=O,0.8015000000000001,
7285,C(C(CCl)Cl)Cl,1.3889,20
7285,C(C(CCl)Cl)Cl,1.3889,20
7285,C(C(CCl)Cl)Cl,1.39,
7285,C(C(CCl)Cl)Cl,1.39,
7288,CCC(=O)CC,0.8159,19
7288,CCC(=O)CC,0.8098,25
7288,CCC(=O)CC,0.81,
7288,CCC(=O)CC,0.81,
7289,C(C(CCl)O)Cl,1.3506,17.22222222222222
7289,C(C(CCl)O)Cl,1.3506,17
7290,C(C(CCl)O)O,1.326,17.77777777777778
7290,C(C(CCl)O)O,1.3218,20
7291,C(C(CS)O)O,1.295,
7293,CNC(=O)NC,1.142,
7293,CNC(=O)NC,1.142,
7293,CNC(=O)NC,1.1,
7294,COC(=O)C=C,0.956,20
7294,COC(=O)C=C,0.9535,20
7294,COC(=O)C=C,0.956,
7294,COC(=O)C=C,0.96,
7295,COC(=O)CCl,1.2337,20
7295,COC(=O)CCl,1.236,20
7295,COC(=O)CCl,1.2,
7296,CC1CCCC1,0.749,20
7296,CC1CCCC1,0.7486,20
7298,C1CCC(C1)O,0.9478,20
7302,C1CC(=O)OC1,1.1286,15
7302,C1CC(=O)OC1,1.1296,20
7302,C1CC(=O)OC1,1.125,
7303,C1COC(=O)O1,1.3214,39
7305,CC(C(C)(C)C)OP(=O)(C)F,1.0222,25
7308,CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,1.1,25
7308,CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,1.1,
7308,CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,1.1,
7321,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,1.615,15
7321,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,1.615,14
7321,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,1.62,
7328,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,1.3,20
7333,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,1.1,20
7335,CC1=CCC(CC1OC(=O)C)C(=C)C,0.976,
7335,CC1=CCC(CC1OC(=O)C)C(=C)C,0.967,
7336,CCC(=O)OC1CC(CC=C1C)C(=C)C,0.952,
7341,CCCC(C)C(=O)O,0.9205000000000001,
7342,CCOC(=O)C(C)C,0.865,
7343,CCOC(=O)C(=C)C,0.9151,20
7343,CCOC(=O)C(=C)C,0.9135,20
7343,CCOC(=O)C(=C)C,0.9151,
7344,CCOC(=O)C(C)O,1.03,20
7344,CCOC(=O)C(C)O,1.033,
7344,CCOC(=O)C(C)O,1.03,
7346,CC(C)C(=O)OC(=O)C(C)C,0.9535,20
7347,CN(C)C(=S)SC(=S)N(C)C,1.37,20
7350,CC(CCN(C)C)N(C)C,0.802,20
7351,CC(C)COC(=O)C(C)C,0.855,20
7351,CC(C)COC(=O)C(C)C,0.875,0
7351,CC(C)COC(=O)C(C)C,0.8534999999999999,
7351,CC(C)COC(=O)C(C)C,0.855,
7352,CC(C)COC(=O)C(=C)C,0.8858,20
7352,CC(C)COC(=O)C(=C)C,0.8858,20
7353,CCCCOC(=O)C(C)C,0.8614999999999999,
7354,CCCCOC(=O)C(=C)C,0.8975,20
7354,CCCCOC(=O)C(=C)C,0.8936,20
7355,CC(=C)C(=O)OCCOC(=O)C(=C)C,1.055,20
7357,B(CC)(CC)CC,0.7,23
7358,CCC(CC)CO,0.834,20
7358,CCC(CC)CO,0.8326,20
7359,CCC(CC)C=O,0.8109999999999999,
7360,C1CC(OC1)CO,1.0544,20
7360,C1CC(OC1)CO,1.0510000000000002,
7361,C1=COC(=C1)CO,1.13,20
7361,C1=COC(=C1)CO,1.1296,20
7361,C1=COC(=C1)CO,1.1309999999999998,
7361,C1=COC(=C1)CO,1.13,
7361,C1=COC(=C1)CO,1.13,
7362,C1=COC(=C1)C=O,1.159,20
7362,C1=COC(=C1)C=O,1.1594,20
7362,C1=COC(=C1)C=O,1.1575,
7362,C1=COC(=C1)C=O,1.16,
7362,C1=COC(=C1)C=O,1.16,
7363,C1=COC(=C1)CS,1.13,
7365,C1=CC=C(C=C1)[As](=O)(O)O,1.76,
7365,C1=CC=C(C=C1)[As](=O)(O)O,1.76,25
7366,CC(C)(C)C1=CC=CC=C1,0.8669,20
7367,C1=CC=C(C=C1)C(Cl)(Cl)Cl,1.3756,20
7367,C1=CC=C(C=C1)C(Cl)(Cl)Cl,1.3756,20
7367,C1=CC=C(C=C1)C(Cl)(Cl)Cl,1.3756,
7368,C1=CC=C(C=C1)C(F)(F)F,1.1812,25
7368,C1=CC=C(C=C1)C(F)(F)F,1.1886,20
7369,C1=CC=C(C=C1)S(=O)(=O)Cl,1.3842,15
7372,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,1.326,18.000000000000004
7372,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,1.321,20
7375,C1=CC(=CC(=C1)N)C(F)(F)F,1.303,15.5
7386,C1=CC(=CC(=C1)[N+](=O)[O-])C(F)(F)F,1.437,15.5
7386,C1=CC(=CC(=C1)[N+](=O)[O-])C(F)(F)F,1.437,15.5
7389,C1=CC(=CC=C1N)[As](=O)(O)O,1.9571,10
7390,CC1=CC=C(C=C1)C(C)(C)C,0.8612,20
7390,CC1=CC=C(C=C1)C(C)(C)C,0.8612,20
7390,CC1=CC=C(C=C1)C(C)(C)C,0.8612,
7390,CC1=CC=C(C=C1)C(C)(C)C,0.86,
7393,CC(C)(C)C1=CC=C(C=C1)O,0.908,80
7393,CC(C)(C)C1=CC=C(C=C1)O,1.037,25
7393,CC(C)(C)C1=CC=C(C=C1)O,0.9,
7393,CC(C)(C)C1=CC=C(C=C1)O,0.908,
7394,C1=CC(=CC=C1C(F)(F)F)Cl,1.34,
7394,C1=CC(=CC=C1C(F)(F)F)Cl,1.334,25
7394,C1=CC(=CC=C1C(F)(F)F)Cl,1.34,
7397,CC1=CC=C(C=C1)S(=O)(=O)Cl,1.3,
7406,CC(C)C1=CC=CC=C1,0.866,15
7406,CC(C)C1=CC=CC=C1,0.86,
7406,CC(C)C1=CC=CC=C1,0.86,
7407,CC(=C)C1=CC=CC=C1,0.91,20
7407,CC(=C)C1=CC=CC=C1,0.9106,
7407,CC(=C)C1=CC=CC=C1,0.91,
7407,CC(=C)C1=CC=CC=C1,0.91,
7408,CC(C1=CC=CC=C1)N,0.9535,20
7409,CC(C1=CC=CC=C1)O,1.015,20
7409,CC(C1=CC=CC=C1)O,1.013,25
7409,CC(C1=CC=CC=C1)O,1.0114999999999998,
7410,CC(=O)C1=CC=CC=C1,1.028,20
7410,CC(=O)C1=CC=CC=C1,1.0281,20
7410,CC(=O)C1=CC=CC=C1,1.03,
7410,CC(=O)C1=CC=CC=C1,1.025,
7410,CC(=O)C1=CC=CC=C1,1.028,
7411,C1=CC=C(C=C1)C(Cl)Cl,1.26,
7411,C1=CC=C(C=C1)C(Cl)Cl,1.26,
7412,C1=CC=C(C=C1)C(=O)Cl,1.211,25
7412,C1=CC=C(C=C1)C(=O)Cl,1.207,25
7412,C1=CC=C(C=C1)C(=O)Cl,1.211,
7413,C1CCC(CC1)C(=O)O,1.033,
7415,CN(C)C1CCCCC1,0.849,20
7415,CN(C)C1CCCCC1,0.849,20
7416,C1=CC=C(C=C1)[N+](=O)[O-],1.2037,20
7416,C1=CC=C(C=C1)[N+](=O)[O-],1.2037,20
7416,C1=CC=C(C=C1)[N+](=O)[O-],1.2,
7416,C1=CC=C(C=C1)[N+](=O)[O-],1.2,
7418,CC1=CC(=CC=C1)C(=O)O,1.054,112.22222222222223
7422,CC1=CC(=CC=C1)[N+](=O)[O-],1.1571,20
7422,CC1=CC(=CC=C1)[N+](=O)[O-],1.163,20
7422,CC1=CC(=CC=C1)[N+](=O)[O-],1.16,
7422,CC1=CC(=CC=C1)[N+](=O)[O-],1.16,
7423,C1=CC(=CC(=C1)[N+](=O)[O-])N,0.9011,25
7423,C1=CC(=CC(=C1)[N+](=O)[O-])N,0.9011,25
7423,C1=CC(=CC(=C1)[N+](=O)[O-])N,1.4,
7430,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],0.28,
7434,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.688,20
7438,CC1=CCC(CC1O)C(=C)C,1.496,
7438,CC1=CCC(CC1O)C(=C)C,0.95,
7440,CC1=C(C=C(C=C1)[N+](=O)[O-])C,1.117,
7441,CC1=C(C=CC(=C1)[N+](=O)[O-])N,1.1586,140
7443,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,1.4558,75
7443,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,1.4558,75
7444,CC1=C(C=C(C=C1)[N+](=O)[O-])N,1.365,
7447,COC1=C(C=C(C=C1)[N+](=O)[O-])N,1.2068,156.11111111111111
7447,COC1=C(C=C(C=C1)[N+](=O)[O-])N,1.2068,156
7450,CC(C)C1=CC(=CC=C1)C(C)C,0.8559,20
7451,C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl,1.388,17
7452,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.58,18.000000000000004
7452,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.575,18
7452,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.6,
7452,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.6,
7452,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.58,
7455,CC1=CC=C(C=C1)C(=O)OC,1.058,25
7455,CC1=CC=C(C=C1)C(=O)OC,1.058,25
7459,CC1CCC(CC1)C(C)C,0.8039,20
7460,CC1=CCC(C=C1)C(C)C,0.85,
7461,CC1=CCC(=CC1)C(C)C,0.843,
7462,CC1=CC=C(CC1)C(C)C,0.8354999999999999,
7463,CC1=CC=C(C=C1)C(C)C,0.857,20
7463,CC1=CC=C(C=C1)C(C)C,0.8573,20
7463,CC1=CC=C(C=C1)C(C)C,0.854,
7467,CC(=O)C1=CC=C(C=C1)Cl,1.1922,20
7471,CC1=CC=C(C=C1)N(C)C,0.9366,20
7472,CN(C)C1=CC=C(C=C1)N,1.036,20
7472,CN(C)C1=CC=C(C=C1)N,1.036,20
7473,CC1=CC=C(C=C1)[N+](=O)[O-],1.286,20
7473,CC1=CC=C(C=C1)[N+](=O)[O-],1.29,
7473,CC1=CC=C(C=C1)[N+](=O)[O-],1.12,
7474,C1=CC(=CC=C1[N+](=O)[O-])Cl,1.52,17.77777777777778
7474,C1=CC(=CC=C1[N+](=O)[O-])Cl,1.52,
7474,C1=CC(=CC=C1[N+](=O)[O-])Cl,1.52,
7474,C1=CC(=CC=C1[N+](=O)[O-])Cl,1.52,
7475,C1=CC(=CC=C1N)[N+](=O)[O-],1.44,20
7475,C1=CC(=CC=C1N)[N+](=O)[O-],1.424,20
7475,C1=CC(=CC=C1N)[N+](=O)[O-],1.4,
7475,C1=CC(=CC=C1N)[N+](=O)[O-],1.42,
7475,C1=CC(=CC=C1N)[N+](=O)[O-],1.42,
7476,CC(=O)C1=CC=C(C=C1)OC,1.0818,41
7477,COC1=CC=C(C=C1)C(=O)Cl,1.26,20
7477,COC1=CC=C(C=C1)C(=O)Cl,1.261,20
7482,C1=CC(=CC=C1CCl)[N+](=O)[O-],1.5647,
7483,CNC1=CC=C(C=C1)[N+](=O)[O-],1.201,155
7486,CC(C)C1=CC=C(C=C1)C(C)C,0.8568,20
7488,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,1.32,
7489,C1=CC(=CC=C1C(=O)O)C(=O)O,1.51,
7489,C1=CC(=CC=C1C(=O)O)C(=O)O,1.51,
7492,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],1.625,18.000000000000004
7492,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],1.625,18
7492,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],1.6,
7492,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],1.63,
7495,CCOC1=CC=C(C=C1)[N+](=O)[O-],1.1176,100
7497,CCN(CC)CCO,0.8921,25
7497,CCN(CC)CCO,0.8921,20
7497,CCN(CC)CCO,0.89,
7497,CCN(CC)CCO,0.89,
7498,C1=CC=C(C=C1)CBr,1.441,21.999999999999996
7498,C1=CC=C(C=C1)CBr,1.438,20
7499,C=CC1CCC=CC1,0.8299,20
7499,C=CC1CCC=CC1,0.83,
7499,C=CC1CCC=CC1,0.83,
7500,CCC1=CC=CC=C1,0.867,20
7500,CCC1=CC=CC=C1,0.8626,25
7500,CCC1=CC=CC=C1,0.87,
7500,CCC1=CC=CC=C1,0.87,
7501,C=CC1=CC=CC=C1,0.906,20
7501,C=CC1=CC=CC=C1,0.9016,25
7501,C=CC1=CC=CC=C1,0.91,
7501,C=CC1=CC=CC=C1,0.91,
7502,C=CC1=CC=NC=C1,0.98,20
7503,C1=CC=C(C=C1)CCl,1.1,20
7503,C1=CC=C(C=C1)CCl,1.1004,20
7503,C1=CC=C(C=C1)CCl,1.1,
7503,C1=CC=C(C=C1)CCl,1.1,
7504,C1=CC=C(C=C1)CN,0.98,20
7504,C1=CC=C(C=C1)CN,0.983,19
7505,C1=CC=C(C=C1)C#N,1.01,25
7505,C1=CC=C(C=C1)C#N,1.0093,15
7508,C1CC(CC=C1)C=O,0.9694,20
7509,C1=CC=C(C=C1)CS,1.058,20
7509,C1=CC=C(C=C1)CS,1.054,
7515,CNC1=CC=CC=C1,0.989,20
7515,CNC1=CC=CC=C1,0.989,20
7515,CNC1=CC=CC=C1,0.989,
7515,CNC1=CC=CC=C1,0.99,
7516,C1=CC=C(C=C1)NN,1.0978,
7516,C1=CC=C(C=C1)NN,1.0978,20
