CID,Smiles,MeltingPoint,Pressure
289,C1=CC=C(C(=C1)O)O,105,
297,C,-182.566,
297,C,-182.4,
297,C,-183,
300,C(C(=O)O)Cl,56.5,
300,C(C(=O)O)Cl,52.5,
301,C1=CC(=C(C=C1O)Cl)O,100,
308,C1=CC=C(C=C1)C=CCO,33,
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,153,
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,153,
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,153,
312,[Cl-],-101,
313,Cl,-114.22,
313,Cl,-114.2,
313,Cl,-114.44444444444444,
313,Cl,-114.44444444444444,
323,C1=CC=C2C(=C1)C=CC(=O)O2,71,
323,C1=CC=C2C(=C1)C=CC(=O)O2,71,
323,C1=CC=C2C(=C1)C=CC(=O)O2,69,
325,CC(C)C1=CC=C(C=C1)CO,28,
328,C1=CC(=CC=C1C(C(=O)O)O)O,104.5,
335,CC1=CC=CC=C1O,31,
335,CC1=CC=CC=C1O,29.8,
335,CC1=CC=CC=C1O,31,
335,CC1=CC=CC=C1O,31.11111111111111,
338,C1=CC=C(C(=C1)C(=O)O)O,159,
338,C1=CC=C(C(=C1)C(=O)O)O,158,
338,C1=CC=C(C(=C1)C(=O)O)O,159,
342,CC1=CC(=CC=C1)O,12.2,
342,CC1=CC(=CC=C1)O,11.8,
342,CC1=CC(=CC=C1)O,11.5,
342,CC1=CC(=CC=C1)O,12.222222222222221,
356,CCCCCCCC,-56.73,
356,CCCCCCCC,-56.8,
356,CCCCCCCC,-56.8,
356,CCCCCCCC,-56.666666666666664,
356,CCCCCCCC,-56.666666666666664,
359,C1=C(C=C(C=C1O)O)O,218.5,
366,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,153.5,
370,C1=C(C=C(C(=C1O)O)O)C(=O)O,261.5,
379,CCCCCCCC(=O)O,16.5,
379,CCCCCCCC(=O)O,16.5,
385,C(CCC(=O)O)CCC(=O)O,104.5,
397,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,150.5,
398,CC(C)[N+](=O)[O-],-91.3,
398,CC(C)[N+](=O)[O-],-91,
398,CC(C)[N+](=O)[O-],-92.77777777777777,
398,CC(C)[N+](=O)[O-],-92.77777777777777,
402,S,-85.49,
402,S,-85.49,
402,S,-85,
402,S,-85.48888888888888,
402,S,-85.55555555555556,
403,C1=CC(=CC=C1N)O,186.66666666666669,
403,C1=CC(=CC=C1N)O,187.5,
403,C1=CC(=CC=C1N)O,187.5,
408,CN1C(CCC1=O)C2=CN=CC=C2,41,
409,C[N+]1(CCCC1C2=CN=CC=C2)[O-],-79,
428,C(CN)CN,-12,
444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,233.5,
447,C1=CC(=CC(=C1)Cl)C(=O)O,158,
447,C1=CC(=CC(=C1)Cl)C(=O)O,158,
454,CCCCCCCC=O,-23,
454,CCCCCCCC=O,-23,
460,COC1=CC=CC=C1O,32,
460,COC1=CC=CC=C1O,28,
464,C1=CC=C(C=C1)C(=O)NCC(=O)O,189,
487,CC(C(=O)O)C(=O)O,135,
525,C(C(C(=O)O)O)C(=O)O,129.5,
527,CCC=O,-80,
527,CCC=O,-80,
527,CCC=O,-81,
527,CCC=O,-81.11111111111111,
528,CC(=O)OCCC(C(=O)O)N,200,
533,[SeH2],-65.73,
533,[SeH2],-66.11111111111111,
533,[SeH2],-66.11111111111111,
535,C1CC1(C(=O)O)N,230,
546,C(C(=O)O)P(=O)(O)O,144.5,
546,C(C(=O)O)P(=O)(O)O,144.5,
547,C1=CC(=C(C=C1CC(=O)O)O)O,168,
564,C(CCC(=O)O)CCN,202.5,
564,C(CCC(=O)O)CCN,205,
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,86.5,
586,CN(CC(=O)O)C(=N)N,303,
612,CC(C(=O)O)O,16.8,
612,CC(C(=O)O)O,16.8,
612,CC(C(=O)O)O,17,
647,CC(=CCOP(=O)(O)OP(=O)(O)O)C,236,
649,C1CNC(=O)NC1=O,280,
650,CC(=O)C(=O)C,-1.2,
650,CC(=O)C(=O)C,-2.4,
650,CC(=O)C(=O)C,-2.4,
650,CC(=O)C(=O)C,-2.3888888888888893,
660,C1CC(=O)OC2=CC=CC=C21,25,
660,C1CC(=O)OC2=CC=CC=C21,25,
670,C(C(=O)CO)O,90,
670,C(C(=O)CO)O,90,
673,CN(C)CC(=O)O,185.5,
674,CNC,-93,
674,CNC,-92.2,
674,CNC,-92.2,
674,CNC,-37,
674,CNC,-92.22222222222223,
674,CNC,-92.22222222222223,
675,CC1=CC2=C(C=C1C)N=CN2,205.5,
679,CS(=O)C,18.45,
679,CS(=O)C,18.5,
679,CS(=O)C,18.5,
681,C1=CC(=C(C=C1CCN)O)O,128,
700,C(CO)N,10.4,
700,C(CO)N,10.5,
700,C(CO)N,10,
700,C(CO)N,10.555555555555555,
700,C(CO)N,10.555555555555555,
702,CCO,-114.14,
702,CCO,-114.1,
